iso3,iso2,m49,source,group_type,group_code,group_name
ABW,AW,533,un_m49,global,1,World
ABW,AW,533,un_m49,intermediate_region,29,Caribbean
ABW,AW,533,un_m49,region,19,Americas
ABW,AW,533,un_m49,special_group,SIDS,Small Island Developing States (SIDS)
ABW,AW,533,un_m49,sub_region,419,Latin America and the Caribbean
ABW,AW,533,un_sdg,region,19,Americas
ABW,AW,533,un_sdg,region,29,Caribbean
ABW,AW,533,un_sdg,region,515,Developing regions
ABW,AW,533,un_sdg,region,419,Latin America and the Caribbean
ABW,AW,533,un_sdg,region,932,SIDS Americas
ABW,AW,533,un_sdg,region,722,Small Island Developing States (SIDS)
ABW,AW,533,un_sdg,region,1,World (total) by MDG regions
ABW,AW,533,un_sdg,region,1,World (total) by SDG regions
ABW,AW,533,un_sdg,region,1,World (total) by continental regions
ABW,AW,533,world_bank,income_level,HIC,High income
ABW,AW,533,world_bank,lending_type,LNX,World Bank lending type: Not classified
ABW,AW,533,world_bank,region,LCN,Latin America & Caribbean
AFG,AF,4,oecd_dac,oda_eligibility,ODA,ODA-eligible recipient
AFG,AF,4,oecd_dac,oda_recipient_group,10016,LDCs
AFG,AF,4,oecd_dac,reporting_year,2024,OECD DAC reporting year 2024 flows
AFG,AF,4,oecd_dac,wb_income_hint,WB-L,World Bank low income (WB-L)
AFG,AF,4,un_m49,global,1,World
AFG,AF,4,un_m49,region,142,Asia
AFG,AF,4,un_m49,special_group,LLDC,Landlocked Developing Countries (LLDC)
AFG,AF,4,un_m49,special_group,LDC,Least Developed Countries (LDC)
AFG,AF,4,un_m49,sub_region,34,Southern Asia
AFG,AF,4,un_sdg,region,142,Asia
AFG,AF,4,un_sdg,region,62,Central and Southern Asia
AFG,AF,4,un_sdg,region,515,Developing regions
AFG,AF,4,un_sdg,region,929,LDC Asia
AFG,AF,4,un_sdg,region,925,LLDC Asia
AFG,AF,4,un_sdg,region,432,Land Locked Developing Countries (LLDC)
AFG,AF,4,un_sdg,region,199,Least Developed Countries (LDC)
AFG,AF,4,un_sdg,region,34,Southern Asia
AFG,AF,4,un_sdg,region,1,World (total) by MDG regions
AFG,AF,4,un_sdg,region,1,World (total) by SDG regions
AFG,AF,4,un_sdg,region,1,World (total) by continental regions
AFG,AF,4,world_bank,income_level,LIC,Low income
AFG,AF,4,world_bank,lending_type,IDX,International Development Association (IDA)
AFG,AF,4,world_bank,region,MEA,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,AO,24,oecd_dac,oda_eligibility,ODA,ODA-eligible recipient
AGO,AO,24,oecd_dac,oda_recipient_group,10016,LDCs
AGO,AO,24,oecd_dac,reporting_year,2024,OECD DAC reporting year 2024 flows
AGO,AO,24,oecd_dac,wb_income_hint,WB-LM,World Bank lower middle income (WB-LM)
AGO,AO,24,un_m49,global,1,World
AGO,AO,24,un_m49,intermediate_region,17,Middle Africa
AGO,AO,24,un_m49,region,2,Africa
AGO,AO,24,un_m49,special_group,LDC,Least Developed Countries (LDC)
AGO,AO,24,un_m49,sub_region,202,Sub-Saharan Africa
AGO,AO,24,un_sdg,region,2,Africa
AGO,AO,24,un_sdg,region,515,Developing regions
AGO,AO,24,un_sdg,region,927,LDC Africa
AGO,AO,24,un_sdg,region,199,Least Developed Countries (LDC)
AGO,AO,24,un_sdg,region,17,Middle Africa
AGO,AO,24,un_sdg,region,202,Sub-Saharan Africa
AGO,AO,24,un_sdg,region,738,Sub-Saharan Africa (inc. Sudan)
AGO,AO,24,un_sdg,region,1,World (total) by MDG regions
AGO,AO,24,un_sdg,region,1,World (total) by SDG regions
AGO,AO,24,un_sdg,region,1,World (total) by continental regions
AGO,AO,24,world_bank,income_level,LMC,Lower middle income
AGO,AO,24,world_bank,lending_type,IBD,International Bank for Reconstruction and Development (IBRD)
AGO,AO,24,world_bank,region,SSF,Sub-Saharan Africa
AIA,AI,660,un_m49,global,1,World
AIA,AI,660,un_m49,intermediate_region,29,Caribbean
AIA,AI,660,un_m49,region,19,Americas
AIA,AI,660,un_m49,special_group,SIDS,Small Island Developing States (SIDS)
AIA,AI,660,un_m49,sub_region,419,Latin America and the Caribbean
AIA,AI,660,un_sdg,region,19,Americas
AIA,AI,660,un_sdg,region,29,Caribbean
AIA,AI,660,un_sdg,region,515,Developing regions
AIA,AI,660,un_sdg,region,419,Latin America and the Caribbean
AIA,AI,660,un_sdg,region,932,SIDS Americas
AIA,AI,660,un_sdg,region,722,Small Island Developing States (SIDS)
AIA,AI,660,un_sdg,region,1,World (total) by MDG regions
AIA,AI,660,un_sdg,region,1,World (total) by SDG regions
AIA,AI,660,un_sdg,region,1,World (total) by continental regions
ALA,AX,248,un_m49,global,1,World
ALA,AX,248,un_m49,region,150,Europe
ALA,AX,248,un_m49,sub_region,154,Northern Europe
ALA,AX,248,un_sdg,region,514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)"
ALA,AX,248,un_sdg,region,150,Europe
ALA,AX,248,un_sdg,region,513,Europe and Northern America
ALA,AX,248,un_sdg,region,154,Northern Europe
ALA,AX,248,un_sdg,region,1,World (total) by MDG regions
ALA,AX,248,un_sdg,region,1,World (total) by SDG regions
ALA,AX,248,un_sdg,region,1,World (total) by continental regions
ALB,AL,8,oecd_dac,oda_eligibility,ODA,ODA-eligible recipient
ALB,AL,8,oecd_dac,oda_recipient_group,10019,UMICs
ALB,AL,8,oecd_dac,reporting_year,2024,OECD DAC reporting year 2024 flows
ALB,AL,8,oecd_dac,wb_income_hint,WB-UM,World Bank upper middle income (WB-UM)
ALB,AL,8,un_m49,global,1,World
ALB,AL,8,un_m49,region,150,Europe
ALB,AL,8,un_m49,sub_region,39,Southern Europe
ALB,AL,8,un_sdg,region,514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)"
ALB,AL,8,un_sdg,region,150,Europe
ALB,AL,8,un_sdg,region,513,Europe and Northern America
ALB,AL,8,un_sdg,region,39,Southern Europe
ALB,AL,8,un_sdg,region,1,World (total) by MDG regions
ALB,AL,8,un_sdg,region,1,World (total) by SDG regions
ALB,AL,8,un_sdg,region,1,World (total) by continental regions
ALB,AL,8,world_bank,income_level,UMC,Upper middle income
ALB,AL,8,world_bank,lending_type,IBD,International Bank for Reconstruction and Development (IBRD)
ALB,AL,8,world_bank,region,ECS,Europe & Central Asia
AND,AD,20,un_m49,global,1,World
AND,AD,20,un_m49,region,150,Europe
AND,AD,20,un_m49,sub_region,39,Southern Europe
AND,AD,20,un_sdg,region,514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)"
AND,AD,20,un_sdg,region,150,Europe
AND,AD,20,un_sdg,region,513,Europe and Northern America
AND,AD,20,un_sdg,region,39,Southern Europe
AND,AD,20,un_sdg,region,1,World (total) by MDG regions
AND,AD,20,un_sdg,region,1,World (total) by SDG regions
AND,AD,20,un_sdg,region,1,World (total) by continental regions
AND,AD,20,world_bank,income_level,HIC,High income
AND,AD,20,world_bank,lending_type,LNX,World Bank lending type: Not classified
AND,AD,20,world_bank,region,ECS,Europe & Central Asia
ARE,AE,784,un_m49,global,1,World
ARE,AE,784,un_m49,region,142,Asia
ARE,AE,784,un_m49,sub_region,145,Western Asia
ARE,AE,784,un_sdg,region,142,Asia
ARE,AE,784,un_sdg,region,515,Developing regions
ARE,AE,784,un_sdg,region,747,Northern Africa and Western Asia
ARE,AE,784,un_sdg,region,145,Western Asia
ARE,AE,784,un_sdg,region,485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)"
ARE,AE,784,un_sdg,region,1,World (total) by MDG regions
ARE,AE,784,un_sdg,region,1,World (total) by SDG regions
ARE,AE,784,un_sdg,region,1,World (total) by continental regions
ARE,AE,784,world_bank,income_level,HIC,High income
ARE,AE,784,world_bank,lending_type,LNX,World Bank lending type: Not classified
ARE,AE,784,world_bank,region,MEA,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,AR,32,oecd_dac,oda_eligibility,ODA,ODA-eligible recipient
ARG,AR,32,oecd_dac,oda_recipient_group,10019,UMICs
ARG,AR,32,oecd_dac,reporting_year,2024,OECD DAC reporting year 2024 flows
ARG,AR,32,oecd_dac,wb_income_hint,WB-UM,World Bank upper middle income (WB-UM)
ARG,AR,32,un_m49,global,1,World
ARG,AR,32,un_m49,intermediate_region,5,South America
ARG,AR,32,un_m49,region,19,Americas
ARG,AR,32,un_m49,sub_region,419,Latin America and the Caribbean
ARG,AR,32,un_sdg,region,19,Americas
ARG,AR,32,un_sdg,region,515,Developing regions
ARG,AR,32,un_sdg,region,419,Latin America and the Caribbean
ARG,AR,32,un_sdg,region,5,South America
ARG,AR,32,un_sdg,region,1,World (total) by MDG regions
ARG,AR,32,un_sdg,region,1,World (total) by SDG regions
ARG,AR,32,un_sdg,region,1,World (total) by continental regions
ARG,AR,32,world_bank,income_level,UMC,Upper middle income
ARG,AR,32,world_bank,lending_type,IBD,International Bank for Reconstruction and Development (IBRD)
ARG,AR,32,world_bank,region,LCN,Latin America & Caribbean
ARM,AM,51,oecd_dac,oda_eligibility,ODA,ODA-eligible recipient
ARM,AM,51,oecd_dac,oda_recipient_group,10019,UMICs
ARM,AM,51,oecd_dac,reporting_year,2024,OECD DAC reporting year 2024 flows
ARM,AM,51,oecd_dac,wb_income_hint,WB-UM,World Bank upper middle income (WB-UM)
ARM,AM,51,un_m49,global,1,World
ARM,AM,51,un_m49,region,142,Asia
ARM,AM,51,un_m49,special_group,LLDC,Landlocked Developing Countries (LLDC)
ARM,AM,51,un_m49,sub_region,145,Western Asia
ARM,AM,51,un_sdg,region,142,Asia
ARM,AM,51,un_sdg,region,135,Caucasus and Central Asia
ARM,AM,51,un_sdg,region,515,Developing regions
ARM,AM,51,un_sdg,region,925,LLDC Asia
ARM,AM,51,un_sdg,region,432,Land Locked Developing Countries (LLDC)
ARM,AM,51,un_sdg,region,747,Northern Africa and Western Asia
ARM,AM,51,un_sdg,region,145,Western Asia
ARM,AM,51,un_sdg,region,1,World (total) by MDG regions
ARM,AM,51,un_sdg,region,1,World (total) by SDG regions
ARM,AM,51,un_sdg,region,1,World (total) by continental regions
ARM,AM,51,world_bank,income_level,UMC,Upper middle income
ARM,AM,51,world_bank,lending_type,IBD,International Bank for Reconstruction and Development (IBRD)
ARM,AM,51,world_bank,region,ECS,Europe & Central Asia
ASM,AS,16,un_m49,global,1,World
ASM,AS,16,un_m49,region,9,Oceania
ASM,AS,16,un_m49,special_group,SIDS,Small Island Developing States (SIDS)
ASM,AS,16,un_m49,sub_region,61,Polynesia
ASM,AS,16,un_sdg,region,515,Developing regions
ASM,AS,16,un_sdg,region,9,Oceania
ASM,AS,16,un_sdg,region,543,Oceania (exc. Australia and New Zealand)
ASM,AS,16,un_sdg,region,61,Polynesia
ASM,AS,16,un_sdg,region,934,SIDS Oceania
ASM,AS,16,un_sdg,region,722,Small Island Developing States (SIDS)
ASM,AS,16,un_sdg,region,1,World (total) by MDG regions
ASM,AS,16,un_sdg,region,1,World (total) by SDG regions
ASM,AS,16,un_sdg,region,1,World (total) by continental regions
ASM,AS,16,world_bank,income_level,HIC,High income
ASM,AS,16,world_bank,lending_type,LNX,World Bank lending type: Not classified
ASM,AS,16,world_bank,region,EAS,East Asia & Pacific
ATA,AQ,10,un_m49,global,1,World
ATA,AQ,10,un_sdg,region,1,World (total) by continental regions
ATF,TF,260,un_m49,global,1,World
ATF,TF,260,un_m49,intermediate_region,14,Eastern Africa
ATF,TF,260,un_m49,region,2,Africa
ATF,TF,260,un_m49,sub_region,202,Sub-Saharan Africa
ATF,TF,260,un_sdg,region,2,Africa
ATF,TF,260,un_sdg,region,515,Developing regions
ATF,TF,260,un_sdg,region,14,Eastern Africa
ATF,TF,260,un_sdg,region,202,Sub-Saharan Africa
ATF,TF,260,un_sdg,region,738,Sub-Saharan Africa (inc. Sudan)
ATF,TF,260,un_sdg,region,1,World (total) by MDG regions
ATF,TF,260,un_sdg,region,1,World (total) by SDG regions
ATF,TF,260,un_sdg,region,1,World (total) by continental regions
ATG,AG,28,un_m49,global,1,World
ATG,AG,28,un_m49,intermediate_region,29,Caribbean
ATG,AG,28,un_m49,region,19,Americas
ATG,AG,28,un_m49,special_group,SIDS,Small Island Developing States (SIDS)
ATG,AG,28,un_m49,sub_region,419,Latin America and the Caribbean
ATG,AG,28,un_sdg,region,19,Americas
ATG,AG,28,un_sdg,region,29,Caribbean
ATG,AG,28,un_sdg,region,515,Developing regions
ATG,AG,28,un_sdg,region,419,Latin America and the Caribbean
ATG,AG,28,un_sdg,region,932,SIDS Americas
ATG,AG,28,un_sdg,region,722,Small Island Developing States (SIDS)
ATG,AG,28,un_sdg,region,1,World (total) by MDG regions
ATG,AG,28,un_sdg,region,1,World (total) by SDG regions
ATG,AG,28,un_sdg,region,1,World (total) by continental regions
ATG,AG,28,world_bank,income_level,HIC,High income
ATG,AG,28,world_bank,lending_type,IBD,International Bank for Reconstruction and Development (IBRD)
ATG,AG,28,world_bank,region,LCN,Latin America & Caribbean
AUS,AU,36,un_m49,global,1,World
AUS,AU,36,un_m49,region,9,Oceania
AUS,AU,36,un_m49,sub_region,53,Australia and New Zealand
AUS,AU,36,un_sdg,region,53,Australia and New Zealand
AUS,AU,36,un_sdg,region,514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)"
AUS,AU,36,un_sdg,region,9,Oceania
AUS,AU,36,un_sdg,region,1,World (total) by MDG regions
AUS,AU,36,un_sdg,region,1,World (total) by SDG regions
AUS,AU,36,un_sdg,region,1,World (total) by continental regions
AUS,AU,36,world_bank,income_level,HIC,High income
